tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0074354,movie,Coz takhle dÃ¡t si spenÃ¡t,Coz takhle dÃ¡t si spenÃ¡t,0,1977,,86,"Comedy,Sci-Fi"
tt0074504,movie,The Treasure of Jamaica Reef,The Treasure of Jamaica Reef,0,1974,,96,Adventure
tt0075156,movie,Rudin,Rudin,0,1977,,95,Romance
tt0075993,movie,An Enemy of the People,An Enemy of the People,0,1978,,103,Drama
tt0076351,short,The Magic Pony Ride,The Magic Pony Ride,0,1977,,23,"Family,Fantasy,Musical"
tt0077800,movie,Killer Fish,Killer Fish,0,1979,,101,Horror
tt0077946,movie,Montreal Main,Montreal Main,0,1974,,88,Drama
tt0077986,movie,Newsfront,Newsfront,0,1978,,110,"Drama,History"
tt0078215,movie,The Sea Gypsies,The Sea Gypsies,0,1978,,102,"Adventure,Family"
tt0078940,movie,"CariÃ±o mÃ­o, Â¿quÃ© me has hecho?","CariÃ±o mÃ­o, Â¿quÃ© me has hecho?",0,1979,,92,"Comedy,Drama"
tt0080020,movie,Ti MisÃ©ria,Ti MisÃ©ria,0,1979,,,
tt0080109,movie,Een vrouw als Eva,Een vrouw als Eva,0,1979,,113,Drama
tt0081499,movie,The Young Master,Shi di chu ma,0,1980,,101,"Action,Adventure,Comedy"
tt0082059,tvMovie,Berlin Tunnel 21,Berlin Tunnel 21,0,1981,,141,"Drama,Thriller"
tt0083052,movie,Separate Ways,Separate Ways,0,1981,,92,Drama
tt0083431,tvSeries,It Takes Two,It Takes Two,0,1982,1983,30,Comedy
tt0083632,movie,Het beest,Het beest,0,1982,,90,Drama
tt0084913,movie,Wolf Devil Woman,Lang nu bai mo,0,1982,,85,"Fantasy,Horror"
tt0085218,movie,Barefoot Gen,Hadashi no Gen,0,1983,,83,"Animation,Biography,Drama"
tt0085438,movie,Il diavolo e l'acquasanta,Il diavolo e l'acquasanta,0,1983,,92,Comedy
tt0086508,movie,Uncommon Valor,Uncommon Valor,0,1983,,105,"Action,Drama,Thriller"
tt0086776,tvSeries,Partners in Crime,Partners in Crime,0,1984,,60,"Crime,Drama,Mystery"
tt0087235,tvMovie,Family Secrets,Family Secrets,0,1984,,120,Drama
tt0089002,movie,Death Warmed Over,Death Warmed Up,0,1984,,85,"Horror,Sci-Fi"
tt0036793,movie,Her Man Gilbey,English Without Tears,0,1944,,89,"Comedy,Romance,War"
tt0038249,movie,Why Girls Leave Home,Why Girls Leave Home,0,1945,,69,Drama
tt0040808,movie,Snowbound,Snowbound,0,1948,,90,"Crime,Drama,Mystery"
tt0041113,movie,All the King's Men,All the King's Men,0,1949,,110,"Drama,Film-Noir"
tt0041543,movie,Kenji to onnakanshu,Kenji to onnakanshu,0,1949,,,
tt0041751,short,Pluto and the Gopher,Pluto and the Gopher,0,1950,,6,"Animation,Comedy,Family"
tt0042278,movie,The Boy from Indiana,The Boy from Indiana,0,1950,,66,"Drama,Romance,Sport"
tt0042372,movie,Dallas,Dallas,0,1950,,94,"Romance,Western"
tt0044047,short,Sleepy-Time Tom,Sleepy-Time Tom,0,1951,,7,"Animation,Comedy,Family"
