nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm2450239,Daniel Pirrone-Cook,,,"actor,director,writer","tt0481452,tt2918470,tt0443473,tt2341987"
nm2452706,Wyatt Garfield,,,"cinematographer,camera_department,director","tt2125435,tt4446472,tt3486542,tt5929750"
nm2525926,Milan Vukos,,,writer,"tt2325312,tt0192921,tt0188326"
nm2526638,Kenneth J. Coughlan,,,"producer,director,editor","tt9054280,tt8209376"
nm2515718,Arne NÃ¦vra,,,"cinematographer,producer,director","tt6241856,tt8876682,tt1058042,tt7816154"
nm2504304,Howard Bradburn,,,"producer,director,editor","tt4671722,tt1043090,tt0199257,tt0294205"
nm2345824,Tanja Sawitzki,,,writer,"tt5497470,tt1602908,tt1552785,tt7227158"
nm2346307,Dexter Goad,,,"producer,writer,editor","tt2575980,tt5255996,tt2115311,tt2302108"
nm2408141,Amanda Cherry,1978,,"actress,producer,writer","tt1704271,tt1526625,tt2400391,tt1461428"
nm2386011,Mac Bekov,,,writer,tt0861799
nm2394353,Liendro Candelaria,,,"writer,actor","tt0885423,tt0856153,tt0843600,tt7411912"
nm2394912,Eric Francis Martin,1983,,"editor,director,writer","tt1592804,tt1762391,tt2059179,tt1740734"
nm2395630,Phil Sheppard,,,"cinematographer,producer,director","tt7710596,tt7627784,tt1165320,tt1797349"
nm2399853,Nobuo Mizuta,,,"director,producer,writer","tt2976664,tt4402162,tt1260932,tt0871989"
nm2400039,Scott Matalon,,,"producer,art_department,editorial_department","tt0865929,tt0962733,tt5253184,tt1948952"
nm2467614,Nikki Toscano,,,"producer,writer,miscellaneous","tt1578258,tt5345490,tt1837642,tt2188671"
nm2468218,Rachael Schaefer,,,"producer,miscellaneous,writer","tt5647758,tt2374744,tt1423384,tt4502154"
nm2439172,Victor Grandits,1963,,"director,writer,producer","tt1949266,tt0804196,tt1067724,tt3262684"
nm2441363,Daniel Siegel,,,"miscellaneous,producer,writer","tt4038898,tt8136192,tt6869560,tt5525448"
nm2458692,Jennifer Flack,,,"actress,writer,director","tt3002366,tt2966518,tt3002398,tt1439629"
nm2453952,Mandy Chang,,,"producer,director,writer","tt2012648,tt1586000,tt0396392,tt3894502"
nm2345184,Rolie Nikiwe,,,"director,miscellaneous","tt2231299,tt8723824,tt1442057,tt3013148"
nm2345236,Jaroslav RihÃ¡k,1951,,"director,writer,assistant_director",tt0834553
nm2345386,Konrad Eberhardt,1931,1976,writer,tt0835764
nm2345811,Charlie Hawes,,,"producer,director,miscellaneous","tt1043090,tt1574661,tt0836828,tt0981221"
nm2346560,Peter Venn,,,"producer,writer,director","tt6180608,tt0841928,tt1002548,tt1058042"
nm2408025,Gyeong-tae Roh,,,"director,writer,producer","tt0877656,tt1307453,tt2086846,tt4087996"
nm2408250,Lelio Golletti,,,director,"tt0891307,tt7693454,tt0877561,tt0883457"
nm2409593,Samir Harrag,,,"actor,writer","tt4687882,tt8244454,tt3061594,tt0877700"
nm2370957,Richard Fabb,,,"producer,writer,editorial_department","tt2286947,tt1855622,tt1922857,tt2368221"
nm2395663,Karen Brothers,,,"cinematographer,camera_department,producer","tt2022517,tt2991316,tt2717144,tt2717116"
nm2389939,Patrick Shawn Bennett,1968,,"producer,sound_department,director","tt3249540,tt2166179,tt1422773,tt5795440"
nm2413334,Florent Teuscher,,,"director,writer",tt0876135
nm2414602,Gareth Harvey,,,"producer,writer,director","tt1862249,tt8220360,tt1787739,tt0146386"
nm2478467,Bernard Ederer,,,writer,"tt0047727,tt0043182,tt0048863,tt0046610"
nm2467906,Gillian Rubinstein,,,writer,"tt0911000,tt0911007"
nm2468242,Rod Lopez,1978,,"producer,director,cinematographer","tt6064672,tt2402996,tt2321511,tt2203765"
nm2440241,Jason D. Buch,,,"producer,writer,director","tt1517260,tt6151796,tt8598160,tt1342894"
nm2440302,Stuart Mackay-Smith,,,"director,editor,producer","tt7250158,tt7250198,tt7374728,tt4667610"
nm2449144,Brent Montgomery,,,"actor,writer,cinematographer","tt1555064,tt1671490,tt2198117,tt1114677"
nm2482706,Meriko Gehrmann,,,writer,"tt0339702,tt0891414,tt0118479,tt0144050"
nm2483722,Christopher Forbes,,,"director,writer,editor","tt7790254,tt8554826,tt3990910,tt5330562"
nm2472284,Peter Harmon,1986,,"miscellaneous,producer,writer","tt3715208,tt0450920,tt8065358,tt6833398"
nm2474122,Boris Anderson,,,"writer,director,assistant_director","tt0108977,tt0835962,tt1736093,tt0831854"
nm2506577,Roger Corke,,,"producer,director,assistant_director","tt0181269,tt4020060,tt0199257,tt1043090"
nm2507091,Margret Schepers,,,"producer,director","tt7307156,tt1133482,tt0275160,tt2844130"
nm2498284,Giannis Papanikolopoulos,,,"writer,soundtrack","tt0135757,tt0231148,tt0289497"
nm2499486,Louis Mendiola,1981,,"writer,producer,actor","tt1697659,tt1988756,tt1499428,tt5315652"
nm2516964,Keivan Nakhaei,,,writer,tt0333978
nm2517110,Ben Emeh,,,"director,actor,writer","tt1205987,tt0943436,tt0943483,tt0943304"
nm2534606,Yuval Semo,1979,,"composer,music_department,director","tt2295196,tt0960775,tt1302208,tt2372842"
nm2534916,Svein Aronsen,,,"writer,director,camera_department","tt8902992,tt0488462,tt0495544"
nm2536493,Samuel Frank,,,"director,writer,assistant_director","tt1437325,tt0955399,tt1656625,tt8633282"
nm2355229,Jakob Egevang,,,"writer,miscellaneous","tt0280327,tt0335662,tt0398526"
nm2388047,Nick Kovacic,,,"camera_department,editor,producer","tt2569828,tt6085362,tt3440708,tt7485796"
nm2388065,Deniz Berkin,,,"director,writer,editor","tt9302222,tt1483497,tt1482449,tt0897373"
nm2389024,Sonia Pascual,,,writer,tt0856153
nm2380807,Dode Cruz,,,"writer,miscellaneous,producer","tt3907562,tt0441936,tt2946616,tt2727178"
nm2381567,Ayers Baxter,,,writer,tt0839721
nm2389348,Juliet Schneider,,,"producer,production_designer,director","tt0865929,tt1521661,tt1358471,tt1818398"
nm2400360,Todd Senturia,,,"producer,writer","tt0870122,tt1603841,tt1304619"
nm2403746,John Berardo,1986,,"director,producer,writer","tt7397098,tt3224036,tt5063290,tt3237804"
nm2434432,Per Franchell,,,"editor,director,music_department","tt1993430,tt1723595,tt1596581,tt3118676"
nm2428146,Wayne Derrick,,,"director,producer,cinematographer","tt2299520,tt3470530,tt5423398,tt0481448"
nm2429626,Martijn Schinkel,,,"director,writer,editor","tt2077802,tt8764986,tt4151404,tt8552910"
nm2429677,Philippe Brunet,,,"director,writer","tt8416946,tt5037740,tt5022764,tt8323092"
nm2470880,Yasuhiro Yoshida,,,"writer,director,assistant_director","tt4842932,tt3381988,tt2368527,tt2934686"
nm2464921,Jeff Redlick,,,"actor,stunts,producer","tt1270797,tt6080344,tt6060276,tt0369436"
nm2465305,Piotr Studzinski,1939,,"director,assistant_director","tt0905377,tt0788228"
nm2465385,Leo HildÃ©n,,,"cinematographer,director,writer","tt2268363,tt2553998,tt2268515,tt0906631"
nm2465391,Justin Charlebois,1982,,"miscellaneous,writer,animation_department","tt0892700,tt3218114,tt1877889,tt0417299"
nm2465768,Zack Kennedy,,,"actor,writer,producer","tt2337907,tt1282140,tt1092026,tt0906788"
nm2466300,Heather Fink,1981,,"sound_department,director,actress","tt2807580,tt5774544,tt5507424"
nm2467378,Nicole Rivera,,,"miscellaneous,production_manager,director","tt2341004,tt4718304,tt0458352,tt3061046"
nm2467544,Rob Federighi,,,"director,producer","tt1513786,tt1600732"
nm2460548,Ian Pfaff,,,"director,editor,cinematographer","tt2514442,tt2948604,tt6123718,tt4058306"
nm2492904,Cassandra Noboa Sicre,,,"producer,miscellaneous,director","tt2585168,tt1188735,tt1015976,tt1034385"
nm2509085,David Hayles,,,"writer,actor","tt0421534,tt0243091,tt0243070,tt0182642"
nm2522798,Marcus Carlos Liberski,,,"camera_department,editor,director","tt1633317,tt1866296,tt3322508,tt1852922"
nm2524503,Marek Matousek,,,"actor,assistant_director,miscellaneous","tt2075366,tt5283272,tt4190530,tt1730768"
nm2576026,Carlos Ruano,1980,,"writer,director,producer","tt1327919,tt1852157,tt1153059,tt6511936"
nm2576553,Jet Inoue,,,"writer,art_department,miscellaneous","tt0402976,tt1079985,tt1353038"
nm2437622,Russell Vines,,,"director,writer,producer","tt2090506,tt4661128,tt4235500,tt6429206"
nm2442482,Simon Carmody,,,"editor,producer,writer","tt0959086,tt1342894,tt6338460,tt3335586"
nm2445444,Russell Geary,,,"actor,writer,producer","tt0897270,tt1327909,tt1219682,tt0976035"
nm2445513,Matt Gismondi,,,"editor,producer,director","tt1377664,tt0893607,tt1432120,tt1397060"
nm2476100,Sean Whiteman,,,"director,actor,cinematographer","tt1560736,tt1338655,tt1338584,tt2974000"
nm2405753,Sandra Rocha,,,"writer,actress","tt0391666,tt1398075,tt1397484,tt1068496"
nm2405786,Tim Simmons,,,"producer,director,writer","tt0863063,tt1458934,tt1548571"
nm2456944,Janna Maria Nandzik,,,"writer,director,producer","tt2388152,tt6071060,tt3869000,tt1650773"
nm2458074,Shuko Arai,,,writer,"tt4512422,tt5585826,tt2122087,tt1738286"
nm2447107,Vladimir Stepanenko,,,writer,tt0899242
nm2431809,Sara Blecher,,,"director,producer,writer","tt3779804,tt4459386,tt1986926,tt4417520"
nm2432086,Spencer Stoner,1982,,"producer,camera_department,miscellaneous","tt1343103,tt2510302,tt2133015,tt4468340"
nm2432914,Jason LaRay Keener,1985,,"director,composer,producer","tt1514830,tt2251335,tt1357143,tt0889202"
nm2469871,Eeva Putro,,,"actress,miscellaneous,writer","tt8304434,tt2262197,tt4433360,tt4631528"
nm2450115,Yolanda Braxton,,,"production_manager,producer,writer","tt0400611,tt0865859,tt0215557,tt0183423"
nm2537685,Kim Harris,,,"director,writer,miscellaneous","tt0487002,tt1327968,tt5063130,tt2382088"
nm2537947,Benj Pasek,1985,,"soundtrack,music_department,writer","tt3783958,tt1485796,tt1679335,tt6881890"
nm2515682,Jason Johnson,,,"actor,editor,director","tt5930828,tt7281994,tt1099209,tt2974050"
nm2514149,John Njamah,,,"actor,director","tt2389428,tt1053916,tt1293782,tt1194128"
nm2514461,Albert Torres,,,"writer,miscellaneous","tt4520992,tt1965263,tt0124198,tt1029120"
nm2514851,Jack Everitt,1987,,"cinematographer,director,camera_department","tt3979540,tt3981382,tt4664526"
nm2518394,Jean-Michel Caradec'h,,,writer,"tt1525867,tt4946364,tt4816922,tt0945351"
nm2527927,Nada Vujic,,,writer,tt0192921
nm2530961,Rebecca Blair,,,"actress,writer,producer","tt5628202,tt3449092,tt3503924,tt7441632"
nm2533109,Meredith Hodges,1950,,"producer,writer,actress","tt1391440,tt1848957,tt1792095,tt2112976"
nm2585023,Mariusz Kalinowski,,,"writer,director,assistant_director","tt0441074,tt0984010,tt6747276"
nm2556317,Stanislaw Kasprzykowski,1920,1961,writer,tt0968276
nm2570078,Rob Tosh,,,"writer,editor,producer","tt2313432,tt2330786,tt2313404,tt3059886"
nm2421954,Jon Richards,,,"director,producer,assistant_director","tt1811817,tt3002664,tt1531763,tt0818421"
nm2433739,Jeremiah Ledbetter,1986,,"director,actor,writer","tt0889202,tt1514830,tt2251335,tt1357143"
nm2436273,Meghan McCarthy,,,"producer,writer,miscellaneous","tt2908228,tt0767914,tt1751105,tt4131800"
nm2428672,James DuBern,,,"producer,director","tt1235459,tt0924676,tt0853077,tt0846453"
nm2428673,Wesley Chan,,,"director,cinematographer,producer","tt4401704,tt1784332,tt0886517,tt5699822"
nm2428847,John Hayes Fisher,,,"director,producer,writer","tt0273026,tt1397131,tt1410314,tt3897098"
nm2430776,Manuel Pureza,1984,,"director,assistant_director,writer","tt1746608,tt2006173,tt8128618,tt2365096"
nm2463960,Mark Cornell,,,"director,writer,producer","tt1399607,tt1595573,tt1357105,tt1387415"
nm2464719,JosÃ© Alberto LÃ³pez,1980,,"miscellaneous,producer,writer","tt4829436,tt0461336,tt2368749,tt1702425"
nm2493024,Abburi Ravi,,,"writer,assistant_director,actor","tt2091384,tt7758160,tt0954914,tt1852036"
nm2493257,Greg McWhorter,,,"actor,producer,writer","tt0119942,tt0384683,tt2189731"
nm2489252,Miguel Torga,1907,1995,writer,"tt2999420,tt0923871,tt2102366,tt1948603"
nm2494316,Majella Milne,,,"animation_department,director","tt0096787,tt0095489,tt1140100,tt1379164"
nm2485826,Pascale MÃ©mery,,,writer,"tt0172014,tt0172057,tt1322116,tt2138058"
nm2510332,Denzil Monk,,,"producer,writer,editor","tt1629747,tt1160333,tt2094188,tt4227776"
nm2510601,Clemente Fernandez-Gil,1968,,"writer,director,actor","tt3389236,tt1700458,tt5870322,tt2626880"
nm2524192,Justin Paul,1985,,"soundtrack,music_department,composer","tt1679335,tt6881890,tt1485796,tt3783958"
nm2524303,Michael Schulman,,,"writer,assistant_director",tt1329353
nm2524363,Art Douglas,,,"camera_department,director,editor","tt2186304,tt1325014,tt2540104,tt4936028"
nm2551487,Michelle Smawley,,,"producer,writer","tt1224387,tt0124932,tt8301190,tt6347484"
nm2548184,Leszek Kolakowski,1927,2009,writer,"tt2655688,tt0962571,tt0441074"
nm2566550,Nova DeJhemani,,,"actress,make_up_department,costume_department","tt1134828,tt3715724,tt4544614,tt2321155"
nm2566601,Graeme Potts,,,"camera_department,cinematographer,director","tt5640450,tt0848557,tt0483726,tt2833966"
nm2643323,Elliott D. Yancey,,,"producer,writer,actor","tt3156880,tt4167720,tt6426328,tt5436298"
nm2408292,Nicholas Spaventa,,,"director,producer,cinematographer","tt1882060,tt1954522,tt1339048,tt0875618"
nm2409092,David Korn Brzoza,,,"director,writer,editor","tt4957144,tt9030696,tt6493630,tt4964258"
nm2409454,Jian Zhao,,,"director,producer,actor","tt0875872,tt1096982,tt1372551,tt2240929"
nm2370912,Michal Sprusinski,1940,1981,"actor,writer","tt0170443,tt0441074"
nm2393919,Albert Cruz,,,"writer,miscellaneous,actor","tt0856153,tt1196702,tt1692185,tt2264767"
nm2473801,Eva Tovar,,,director,"tt6852424,tt5651816,tt4062580,tt2738424"
nm2507264,Gabriel Hoss,,,"writer,director,executive","tt0835010,tt0168360,tt7054678"
nm2498204,Juan Avella,,,"producer,writer,miscellaneous","tt5000952,tt5456640,tt1923064,tt1725892"
nm2575400,Mike Madigan,1973,,"writer,producer,director","tt4967050,tt1577035,tt7370784,tt1199444"
nm2447784,Daniel Leary,1982,,"writer,miscellaneous,actor","tt2212935,tt0379623,tt1563543,tt1876317"
nm2462087,Bil Thompson,,,"director,writer,cinematographer","tt1051234,tt0907133,tt1665023"
nm2474980,Rajesh Devraj,,,writer,"tt6173990,tt1176911,tt0456407,tt2404027"
nm2476026,Darrel Bristow-Bovey,,,"writer,miscellaneous","tt8723824,tt2231299,tt3013148,tt0805887"
nm2477944,Sean K. Smith,,,"miscellaneous,camera_department,cinematographer","tt0416185,tt5021198,tt1095499,tt0443680"
nm2487976,Lauri Ikonen,,1983,"director,actor,writer","tt1871432,tt1600692,tt2043896,tt1319180"
nm2496196,Lol Lovett,,,"director,cinematographer,producer","tt0924598,tt0237968"
nm2500877,Shinji Ishihira,,,"art_department,director","tt1355642,tt2942218,tt0995941,tt1528406"
nm2502884,Mario Mabe,,,"actor,editorial_department,producer","tt1709119,tt9173870,tt1462646,tt9083434"
nm2519846,Miroslawa Lukaszewicz,,,"producer,miscellaneous,writer","tt0441074,tt0947036,tt8079560"
nm2520969,Vera Pfeiffer,,,director,tt0939819
nm2550656,Markus Thebe,,,writer,"tt5307194,tt0806901,tt0934460"
nm2552771,Marc Collins-Rector,,,"writer,producer",tt0960743
nm2546132,Carlos Santillan,,,"camera_department,director,editor","tt1415264,tt5920372,tt2327227,tt1744609"
nm2547457,William Savage,,,"actor,writer,director","tt1230553,tt1248130,tt2228000,tt6922520"
nm2553357,KeiichirÃ´ Kawaguchi,,,"director,art_department,animation_department","tt3198698,tt3578678,tt8526106,tt0409591"
nm2600151,Eui-jng Baek,,,writer,tt0997166
nm2600282,Hubert Kreuz,,,director,"tt2489362,tt0989788,tt0121027,tt1765789"
nm2589307,Gabriel Reyes,,,"writer,director,editor","tt8982676,tt6739962,tt8566718,tt2852376"
nm2589456,Guillermo PiÃ±Ã³n,,,"director,writer,producer","tt4311058,tt0984124,tt1427169,tt1603886"
nm2605231,Samir Bagirov,,,director,"tt1869657,tt0996442"
nm2606304,Srinivas Sunderrajan,,,"director,writer,editor","tt7477112,tt6876184,tt2343537,tt1773774"
nm2613528,Carolyn Bertram,,,"writer,producer,director","tt7909708,tt1001664,tt8728268,tt2089632"
nm2619942,Harunobu Matsumori,,,"miscellaneous,director","tt2057895,tt1650824,tt0796806"
nm2636248,Fernando Ruiz Torres,,,writer,"tt0450859,tt0401407,tt3604002,tt0400388"
nm2676438,Ian D. Maddox,,,"miscellaneous,editorial_department,production_manager","tt0407362,tt0799862,tt1132290,tt2295578"
nm2516917,Eric Espeut III,1977,,"camera_department,director,miscellaneous","tt2076861,tt1533791,tt1836157,tt2878408"
nm2535716,Ryan Firpo,,,"director,editor,writer","tt0956334,tt2719370,tt5948824,tt9032400"
nm2554541,Molly Green,1985,,"casting_department,writer,director","tt0484207,tt1377803,tt2827192,tt0800369"
nm2561100,Barbara Winklowa,1927,,writer,"tt0970898,tt0441074"
nm2564355,Luke Barats,,,"actor,writer,director","tt2999422,tt2125296,tt2100555,tt1500910"
nm2565398,Reza Aghili,,,"writer,assistant_director,director","tt1908460,tt1112632,tt5377412,tt0965196"
nm2598724,Colleen Ann Brah,,,"director,writer,actress","tt1172066,tt3161882,tt4166400,tt8141496"
nm2576844,Jack Bishop,,,"director,editor,writer","tt4626996,tt4028748"
nm2608036,Sheila McClure,,,director,tt0969655
nm2609135,ClÃ¡udia Sampaio,,,writer,"tt0816149,tt0391666,tt4289556,tt1397484"
nm2604225,Eui-jung Baek,,,director,tt0997166
nm2604500,Isidore Bethel,,,"editor,producer,director","tt5136682,tt1340618,tt0997230,tt3095762"
nm2627611,Valerie Van Cleve,,,"producer,director,camera_department","tt4595114,tt1776887,tt2051906,tt2239654"
nm2691863,Justin Price,,,"producer,director,actor","tt5553210,tt7292306,tt8548792,tt6891976"
nm2680213,MarÃ­a Togores,,,"director,actress,casting_department","tt2068172,tt1471315,tt1498701,tt0338639"
nm2666727,Randall Wood,,,"cinematographer,director,writer","tt2084960,tt1996424,tt1291195,tt2145426"
nm2694210,Kevin Good,,,"cinematographer,editor,camera_department","tt1467383,tt2942024,tt3923750,tt1414320"
nm2684585,Jacob Burns,,,"cinematographer,writer,producer","tt4985954,tt1617184,tt1367297,tt1381709"
nm2684812,Suzanne Do,,,"actress,writer",tt0477647
nm2767400,Johnny Cole,1970,,"actor,producer,writer","tt7197226,tt7197216,tt1744832,tt0462069"
nm2756439,Markos Gastin,,,"producer,director,writer","tt1325757,tt1207778,tt1329191,tt2429602"
nm2563780,Rycke Foreman,,,"actor,writer,producer","tt2304767,tt2476794,tt4745692,tt3004970"
nm2549893,Jimmy Belcher,,,"actor,writer,cinematographer","tt6653954,tt1978400,tt1980245,tt0960844"
nm2586737,Edith,,,"writer,art_department",tt0106092
nm2586997,Edith Stein,1891,1942,writer,tt0441074
nm2654402,Will Hines,,,"actor,director,writer","tt2411256,tt2396950,tt2396968,tt2411266"
nm2654465,Lynda Fazio,,,"actress,writer","tt4088550,tt3808074,tt4009802,tt2108546"
nm2642841,Leslie Tan,,,"writer,director","tt1931700,tt0490753,tt0470174,tt1933957"
nm2642885,Catherine Robins,,,"miscellaneous,producer,writer","tt2104187,tt0237972,tt6991016,tt3552644"
nm2621000,Karen Hemmerle,,,"writer,producer,miscellaneous","tt4758160,tt1129416,tt1008037,tt4106242"
nm2610456,Gema R. Neira,1982,,"writer,miscellaneous","tt6970710,tt5674718,tt2006421,tt6762348"
nm2624926,Ben Winter,,,"editor,sound_department,writer","tt6422296,tt6212830,tt1539132,tt1537216"
nm2625235,Jimmy Mehiel,,,"assistant_director,sound_department,camera_department","tt1617021,tt4449886,tt2091400,tt4449850"
nm2660759,Anke SteinbrÃ¼gge,,,writer,tt1037155
nm2669796,Courtney Amis,,,"actress,director,writer","tt5968168,tt1488555,tt5312842,tt1505760"
nm2670884,Damian Lanigan,,,"actor,writer,producer","tt4472214,tt2327782,tt1265608,tt6122898"
nm2469806,Anders Tempelman,,,writer,"tt1297859,tt0348255,tt1308631"
nm2527513,Ceri Aston,,,"producer,director","tt1043090,tt0443370,tt7161272,tt0951148"
nm2515348,Ryan Craig,1972,,"writer,director","tt0787985,tt0169438,tt0487189,tt2733252"
nm2516303,Dimitrios Vyzantios,,,writer,"tt1583275,tt0229010"
nm2504932,Ulf Becker,,,"director,actor","tt0937422,tt5715144"
nm2505245,Fenulla Jiwani,,,"actress,writer,producer","tt3684826,tt4666750,tt0907674,tt3735188"
nm2517273,M.J. Weisfeldt,,,"director,producer","tt6427418,tt0945569"
nm2513110,Charlotte Glynn,,,"director,writer,producer","tt3145272,tt3225348,tt1913016,tt1378325"
nm2517772,Staci Bernstein,,,"producer,director,cinematographer","tt6404140,tt6403830,tt1820470,tt6405012"
nm2530721,Gerald Glaskin,,,writer,tt0344723
nm2532480,Natalia DurÃ¡n,,,"writer,actress","tt3582042,tt6336270,tt7490342,tt0445817"
nm2596180,Suchanda,,,"actress,producer,director","tt1985100,tt5947578,tt5645470,tt5559534"
nm2584943,Lindsey Munce,,,"production_manager,miscellaneous,director","tt1988313,tt5865598,tt0810988,tt0987909"
nm2556774,Maija-Liisa Sutinen,1925,,"director,actress,writer","tt1706075,tt1471854,tt1364429,tt0967470"
nm2556881,Tadeusz Boy-Zelenski,1874,1941,writer,"tt8979920,tt0441074"
nm2572228,Jeethu Joseph,,,"writer,director,producer","tt4430212,tt3417422,tt4429128,tt6620266"
nm2572977,Jill Smith,,,director,tt0977622
nm2578669,Gabriel BriceÃ±o,,,writer,"tt0315046,tt0813681,tt1197892,tt0426816"
nm2578951,Mike Carrier,,,"writer,miscellaneous,producer","tt7227748,tt6837554,tt4773632"
nm2592035,Scott Walker,,,"writer,actor,producer","tt1080623,tt1900924,tt3760342,tt1440320"
nm2592037,Marcel Petit,,,"miscellaneous,actor,director","tt1784675,tt1329364,tt3132056,tt0446013"
nm2620778,ShÃ´ Tsukikawa,,,"director,writer,editor","tt1010400,tt2051842,tt2380035,tt2106771"
nm2623044,Giorgos Kolozis,,2009,"director,writer,cinematographer","tt1534469,tt1556030,tt1431203,tt1360203"
nm2623862,Koki Nishida,,,"camera_department,animation_department,miscellaneous","tt2057895,tt0844657,tt0112513,tt1031211"
nm2615528,Ben Templesmith,,,"writer,art_department","tt1320304,tt1641389,tt1392265,tt0389722"
nm2438205,Adam J. Manley,1984,,"actor,editor,director","tt0959480,tt1076864,tt0963179,tt0893539"
nm2442019,Ellie Cook,,,"talent_agent,producer,writer","tt0892766,tt0986374"
nm2443468,Matt King,1983,,"producer,miscellaneous,writer","tt6569966,tt3612226,tt4514068,tt3612492"
nm2445271,James Solomon,,,"director,writer,art_department","tt5135134,tt5249594,tt0363771,tt5893548"
nm2462075,Wes C. Redmon,,,"director,actor,writer","tt0905327,tt1543909,tt2034690"
nm2488937,Mike Mallett,,,"actor,director,writer","tt0929801,tt1671665"
nm2495427,Leyre Valiente,,,"writer,art_director,costume_designer","tt3316064,tt0932522,tt4762816"
nm2496473,Line Fougner Christensen,,,"writer,actress,director","tt6516554,tt2581664,tt1227804,tt0933376"
nm2496474,Nicolas Rey,,,"cinematographer,director,editor","tt0311848,tt0929467,tt2261247,tt4008768"
nm2539064,Hiro Mashima,,,"writer,art_department,animation_department","tt1528406,tt6548966,tt2085795,tt0464170"
nm2539237,Callum Macrae,,,"director,producer,writer","tt0206501,tt2910328,tt8661580,tt1043090"
nm2539790,Dan Bell,1977,,"director,editor,cinematographer","tt9192096,tt1238297,tt9191836,tt0953415"
nm2539870,Julian Black Antelope,,,"actor,stunts,producer","tt5057140,tt1463395,tt2628232,tt5016670"
nm2518718,Dave Stewart,,,director,"tt0939642,tt1986607,tt0989738"
nm2533300,Anthony Fletcher,,,"writer,producer,director","tt4359452,tt1478857,tt1795590,tt0955387"
nm2547573,Michael Busch,,,"actor,producer,writer","tt6819414,tt3922502,tt3922490,tt3922626"
nm2600958,Mario Tani,1976,,"director,producer,editor","tt1733550,tt0995828,tt3340900,tt1344825"
nm2589343,Radek Knapp,,,writer,"tt0986232,tt0441074"
nm2617282,Joby Lubman,,,"producer,director,miscellaneous","tt2102158,tt2152354,tt0206501,tt3772482"
nm2656190,Jeremy Dean,,,"director,writer,executive","tt1035731,tt2011280,tt1605060,tt2365863"
nm2656302,Kara Mann,,,"actress,soundtrack,miscellaneous","tt5273068,tt1998367,tt0369610,tt6382744"
nm2637739,Molly Mathieson,,,"producer,director,camera_department","tt0471892,tt0426340,tt1360544,tt1276659"
nm2676361,Alexander Knight,,,"director,actor,editor","tt1855314,tt1650003,tt1650032,tt1855148"
nm2697046,Daniel Freed,,,"producer,writer","tt1087821,tt2390678,tt2292388,tt1190931"
nm2697307,Rayisa Kondracki,1980,,actress,"tt8420542,tt4878326,tt0896872,tt0475047"
nm2697897,Mark Ganek,,,"producer,writer,director","tt5540054,tt1400986,tt1224386,tt2043521"
nm2698070,Daniel J. Strehlau,1970,,"director,writer,producer","tt3783722,tt3781896,tt6065982,tt7737366"
nm2710381,Jeremy D Riggs,1977,,"actor,cinematographer,writer","tt4847580,tt2821014,tt1797480,tt6426184"
nm2710727,Karl-GÃ¼nther Renz,,,director,"tt1064840,tt2255002"
nm2710855,Robert Younis,,,"actor,director,assistant_director","tt0810788,tt2567036,tt2363752,tt1258205"
nm2711802,Olivier Blond,,,"actor,writer","tt2128428,tt0823240,tt2173023"
nm2541386,Floris-Jan van Luyn,,,"director,writer,miscellaneous","tt5228950,tt7177324,tt1688074,tt1303228"
nm2543797,Tsui-shan Jessey Tsang,,,"director,producer,sound_department","tt5219050,tt3577202,tt1252564,tt2066857"
nm2561484,Alban Mench,,,"director,writer,producer","tt2499206,tt1159683,tt0971178,tt1591024"
nm2561898,Federico Loyato,1982,,"director,writer,assistant_director","tt1558823,tt1558734,tt1558830,tt1558854"
nm2564973,Sarah O'Gorman,,,director,"tt0362357,tt1864017,tt1579293,tt0379632"
nm2565448,Andrew Rivara,,,"camera_department,cinematographer,director","tt2314036,tt3956186,tt1359031,tt2436994"
nm2454957,Filippo Ticozzi,,,"director,sound_department,editor","tt3570196,tt7361702,tt2353769,tt1362250"
nm2455665,Vicky L. Neal,,,"writer,miscellaneous","tt4087984,tt3432716,tt3651846,tt7146348"
nm2482799,Longin Wdowiak,,,"director,writer",tt0473551
nm2482902,Rudi Boon,,,"director,writer","tt0913290,tt0945531,tt4613580,tt1325556"
nm2483598,Brandon Choi,,,writer,"tt0119185,tt2820466,tt0251515"
nm2498952,Ronald PrÃ©gent,,,writer,tt0168360
nm2500053,Alex Kiehl,,,"producer,director,camera_department","tt1043090,tt2585592,tt5189220,tt3114826"
nm2529437,Marie Lefebvre,,,writer,"tt1600746,tt0172014,tt0423713,tt2980074"
nm2559439,Adam Litt,,,"miscellaneous,location_management,production_manager","tt2739478,tt1455646,tt1724970,tt1229236"
nm2560034,Alex Kendall,,,"director,miscellaneous,actor","tt2763304,tt2935476,tt2222636,tt5879532"
nm2393063,Jonathan Dubsky,,,"actor,producer,cinematographer","tt4189492,tt2531050,tt5788078,tt1588173"
nm2427693,Clare Johns,,,"producer,director,camera_department","tt5249988,tt3061146,tt0884757,tt0199257"
nm2436757,Ana Viana,,,"production_designer,art_department,writer","tt0369702,tt0455957,tt0320661,tt0892766"
nm2466936,Colton Tran,,,"director,editor,actor","tt2055570,tt2872022,tt1183475,tt7060864"
nm2480689,Michael Hilf,,,"director,editor,writer","tt5778558,tt5866656,tt0918518,tt4935342"
